Drilled depth (m),Drilling date,Well_ID,NZTM X,NZTM Y,Maximum diameter (mm),"# These data were compiled by Rupert Sutherland from Bay of Plenty and Waikato Regional Councils, Feb 2025"
3383,13/03/2009,72_3342,1878502,5726553,1300,
3192,16/05/2005,72_2563,1846926,5748087,900,
3147,7/12/2008,72_4233,1877616,5721124,1210,
3091.88,29/05/2008,72_4404,1878642,5719881,700,
3000,1/10/2005,72_2727,1870253,5716460,500,
2992,11/03/2009,72_4171,1879286,5720961,1300,
2939,,72_5690,1867060,5716708,1050,
2910,8/05/2024,72_12568,1865061.21,5721110.34,1067,
2910,17/06/2024,72_12569,1870183.78,5719984.85,1067,
2855,13/10/2021,72_11907,1870755,5717033,1067,
2818,25/04/2021,72_11905,1870760,5717023,1067,
2773,3/11/2007,72_4403,1879664,5722058,750,
2759,1/06/2020,72_10413,1877805,5721769,1302,
2709,31/03/2022,72_11912,1872047,5716893,762,
2701.43,29/11/2021,72_11904,1870749,5717040,1068,
2632,6/07/2008,72_4437,1853178,5732735,750,
2606,3/11/2007,72_4402,1879260,5720971,1000,
2586.97,22/02/1978,72_2601,1887710,5730350,,
2569,23/03/2008,72_4406,1878643,5719869,1000,
2560,29/03/2009,72_4105,1876785,5721066,1300,
2554,11/04/2008,72_4438,1856465,5732411,750,
2538.49,16/11/2023,72_12570,1867201.18,5716622.56,1066,
2514,20/03/2024,72_12567,1865080.22,5721110.36,1067,
2506.1,21/10/2007,72_6083,1865462,5720660,1050,
2418,27/09/1969,72_2581,1887901,5731421,,
2412,26/02/2007,72_3799,1853836,5734357,900,
2393.2,9/12/2019,72_11900,1874582,5684797,760,
2386.85,9/07/2011,72_5679,1868610,5716155,1050,
2346.4,28/06/2004,72_3302,1855258,5731580,900,
2342.4,17/05/2004,72_3301,1855268,5731569,900,
2340.2,7/02/2024,72_12566,1865070.21,5721110.35,1067,
2319,15/02/2008,72_4192,1870232,5712658,800,
2280,11/10/2023,72_12273,1877599.37,5721369.36,1219,
2252,24/10/2006,72_3694,1855099,5731661,325,
2236,25/03/2009,72_5677,1876734,5715350,600,
2218,31/03/2009,72_4103,1877046,5721457,1300,
2190.38,2/06/2021,72_11903,1874458,5716961,762,
2145,18/12/2003,72_3124,1855253,5731558,900,
2091.08,26/01/2022,72_11899,1874728,5715743,762,
2090,27/08/2005,72_2975,1848214,5748853,750,
2060,2/07/2005,72_3093,1848258,5748773,900,
2003,3/01/2021,72_10578,1855463,5730449,476,
