Drilled depth (m),NZTM X,NZTM Y,Drilling date,Maximum diameter (mm),Use,,NOTE,,,,,,,
3383,1878502,5726553,13/03/2009,1300,,,"Contains data from 3 regions: Canterbury, Otago, Waikato (and some Auckland)",,,,,,,
3192,1846926,5748087,16/05/2005,900,,,,,,,,,,
3147,1877616,5721124,7/12/2008,1210,,,,,,,,,,
3091.88,1878642,5719881,29/05/2008,700,,,,,,,,,,
3000,1870253,5716460,1/10/2005,500,,,,,,,,,,
2992,1879286,5720961,11/03/2009,1300,,,,,,,,,,
2939,1867060,5716708,,1050,,,,,,,,,,
2910,1865061.21,5721110.34,8/05/2024,1067,Power Generation,,,,,,,,,
2910,1870183.78,5719984.85,17/06/2024,1067,Power Generation,,,,,,,,,
2855,1870755,5717033,13/10/2021,1067,Power Generation,,,,,,,,,
2818,1870760,5717023,25/04/2021,1067,Power Generation,,,,,,,,,
2773,1879664,5722058,3/11/2007,750,,,,,,,,,,
2759,1877805,5721769,1/06/2020,1302,Power Generation,,,,,,,,,
2709,1872047,5716893,31/03/2022,762,Power Generation,,,,,,,,,
2701.43,1870749,5717040,29/11/2021,1068,Power Generation,,,,,,,,,
2632,1853178,5732735,6/07/2008,750,,,,,,,,,,
2606,1879260,5720971,3/11/2007,1000,,,,,,,,,,
2586.97,1887710,5730350,22/02/1978,,,,,,,,,,,
2569,1878643,5719869,23/03/2008,1000,,,,,,,,,,
2560,1876785,5721066,29/03/2009,1300,,,,,,,,,,
2554,1856465,5732411,11/04/2008,750,,,,,,,,,,
2538.49,1867201.18,5716622.56,16/11/2023,1066,Power Generation,,,,,,,,,
2514,1865080.22,5721110.36,20/03/2024,1067,Power Generation,,,,,,,,,
2506.1,1865462,5720660,21/10/2007,1050,Heat Exchange (Abstraction),,,,,,,,,
2418,1887901,5731421,27/09/1969,,,,,,,,,,,
2412,1853836,5734357,26/02/2007,900,,,,,,,,,,
2393.2,1874582,5684797,9/12/2019,760,Geotechnical / Geological Investigation,,,,,,,,,
2386.85,1868610,5716155,9/07/2011,1050,,,,,,,,,,
2346.4,1855258,5731580,28/06/2004,900,,,,,,,,,,
2342.4,1855268,5731569,17/05/2004,900,,,,,,,,,,
2340.2,1865070.21,5721110.35,7/02/2024,1067,Power Generation,,,,,,,,,
2319,1870232,5712658,15/02/2008,800,,,,,,,,,,
2280,1877599.37,5721369.36,11/10/2023,1219,Power Generation,,,,,,,,,
2252,1855099,5731661,24/10/2006,325,,,,,,,,,,
2236,1876734,5715350,25/03/2009,600,,,,,,,,,,
2218,1877046,5721457,31/03/2009,1300,,,,,,,,,,
2190.38,1874458,5716961,2/06/2021,762,Power Generation,,,,,,,,,
2145,1855253,5731558,18/12/2003,900,,,,,,,,,,
2091.08,1874728,5715743,26/01/2022,762,Geotechnical / Geological Investigation,,,,,,,,,
2090,1848214,5748853,27/08/2005,750,,,,,,,,,,
2060,1848258,5748773,2/07/2005,900,,,,,,,,,,
2003,1855463,5730449,3/01/2021,476,Power Generation,,,,,,,,,
2000,1855576,5734474,22/06/2008,750,,,,,,,,,,
2000,1478595,5121372,,,,,,,,,,,,
2000,1547208,5208478,,,,,,,,,,,,
1982,1855104,5731656,29/12/2006,900,,,,,,,,,,
1980,1855265,5731562,,900,,,,,,,,,,
1950,1856439,5732413,7/04/2008,900,,,,,,,,,,
1927,1845665,5750240,7/10/2005,750,,,,,,,,,,
1894,1874977,5715283,27/11/2011,762,Power Generation,,,,,,,,,
1868.7,1870025,5716167,12/03/2008,750,,,,,,,,,,
1843.45,1888815,5730343,8/12/1970,,,,,,,,,,,
1760,1865485,5720670,10/05/2006,315,,,,,,,,,,
1720,1874713,5715728,18/05/2020,762,Power Generation,,,,,,,,,
1678.7,1871484,5720795,19/07/2008,600,,,,,,,,,,
1649.9,1511624,5136496,4/10/1969,650,Water Level Observation,,,,,,,,,
1615.64,1887344,5729472,16/11/1981,,,,,,,,,,,
1592.2,1874469,5716975,24/02/2020,762,Power Generation,,,,,,,,,
1556,1888514,5731043,5/05/1970,,,,,,,,,,,
1554.5,1889281,5729991,16/06/1983,,,,,,,,,,,
1554,1887453,5731740,11/09/1981,,,,,,,,,,,
1546,1889006,5730179,30/04/1983,,,,,,,,,,,
1540.4,1855229,5731580,13/11/2003,900,,,,,,,,,,
1517.95,1889189,5730908,28/07/1978,,,,,,,,,,,
1508.8,1865979,5721309,8/11/2008,750,,,,,,,,,,
1500,1869312,5719415,18/07/1998,315,,,,,,,,,,
1500,1536745,5145538,,200,,,,,,,,,,
1500,1586045,5226970,,200,,,,,,,,,,
1494.29,1855263,5731555,18/01/2004,900,,,,,,,,,,
1483.4,1867148,5716909,11/02/2009,600,,,,,,,,,,
1419,1567704,5221375,1/01/1978,,,,,,,,,,,
1402.99,1889866,5729210,24/06/1969,,,,,,,,,,,
1402.46,1887553,5732279,14/12/1980,,,,,,,,,,,
1402.2,1889111,5729789,18/01/1979,,,,,,,,,,,
1400.62,1865061.21,5721110.34,29/12/2023,1067,Power Generation,,,,,,,,,
1397.4,1875622,5737253,3/04/1965,152,Other - see comments,,,,,,,,,
1396.29,1889314,5731144,9/12/1965,,,,,,,,,,,
1374.16,1888785,5730020,10/11/1978,,,,,,,,,,,
1369.16,1888013,5731443,23/10/1968,,,,,,,,,,,
1367.9,1888313,5731243,12/03/1968,,,,,,,,,,,
1366.7,1875279,5736128,30/06/1965,,(Unknown),,,,,,,,,
1360,1883922,5719429,7/08/1995,750,,,,,,,,,,
1354.5,1865528,5721216,18/05/2005,400,,,,,,,,,,
1350,1887433,5730654,29/09/1967,,,,,,,,,,,
1334,1887991,5731236,21/12/1967,,,,,,,,,,,
1320.7,1871240,5720678,6/12/2008,600,,,,,,,,,,
1286,1889183,5729630,23/03/1983,,,,,,,,,,,
1281.68,1889232,5730326,18/12/1968,,,,,,,,,,,
1269.23,1890070,5731560,17/03/1976,,,,,,,,,,,
1267.7,1871252,5720686,27/12/2008,470,,,,,,,,,,
1255.47,1888643,5729899,29/01/1971,,,,,,,,,,,
1252.16,1887913,5730843,20/10/1975,,,,,,,,,,,
1229.27,1865308,5720611,18/12/1961,,,,,,,,,,,
1225,1888013,5731443,,,,,,,,,,,,
1220.73,1867509,5720614,25/02/1958,,,,,,,,,,,
1216,1872818,5715215,27/05/1966,200,,,,,,,,,,
1216,1870060,5716768,27/05/1966,,,,,,,,,,,
1214.02,1888213,5731643,15/02/1970,,,,,,,,,,,
1213.7,1875323,5739064,23/09/1965,,(Unknown),,,,,,,,,
1213.1,1888530,5729488,4/09/1974,,,,,,,,,,,
1205,1870541,5714714,28/06/1964,,,,,,,,,,,
1198,1877619,5721120,1/01/1966,,,,,,,,,,,
1194,1863066,5720674,17/01/2012,750,,,,,,,,,,
1174.4,1866808,5721714,2/03/1962,,,,,,,,,,,
1162.2,1889011,5730962,3/06/1974,,,,,,,,,,,
1159,1543610,5163992,1/07/1969,,,,,,,,,,,
1158,1865548,5721222,12/08/2005,500,,,,,,,,,,
1146,1876894,5738470,29/04/1965,,(Unknown),,,,,,,,,
1144.63,1888599,5728897,12/12/1975,,,,,,,,,,,
1120.44,1888213,5731043,12/06/1970,,,,,,,,,,,
1119.07,1889502,5729218,21/12/1967,,,,,,,,,,,
1100,1854127,5897795,30/07/1993,245,,,,,,,,,,
1096.98,1888414,5730643,14/10/1970,,,,,,,,,,,
1094,1871947,5713856,13/04/1967,,,,,,,,,,,
1091.7,1865940,5721290,26/09/2008,750,,,,,,,,,,
1091.5,1865538,5721219,3/07/2005,500,,,,,,,,,,
1086.92,1889516,5729743,8/04/1968,,,,,,,,,,,
1082.34,1887714,5729942,29/09/1967,,,,,,,,,,,
1082.04,1889817,5729143,8/12/1969,,,,,,,,,,,
1080.21,1888214,5730443,18/07/1968,,,,,,,,,,,
1077.77,1888114,5730843,12/03/1970,,,,,,,,,,,
1077.47,1864608,5720510,6/02/1963,,,,,,,,,,,
1077.44,1866610,5719112,6/11/1962,,,,,,,,,,,
1054.7,1871476,5720807,7/06/2008,600,,,,,,,,,,
1038,1870101,5715558,19/06/1967,150,,,,,,,,,,
1034,1887813,5731143,9/07/1966,,,,,,,,,,,
1022.91,1889141,5728894,18/11/1974,,,,,,,,,,,
1020,1887812,5731643,5/08/1967,,,,,,,,,,,
1018,1868710,5720615,1/06/1955,,,,,,,,,,,
1016.2,1888513,5731344,27/07/1970,,,,,,,,,,,
1014.02,1865908,5721012,9/02/1960,,,,,,,,,,,
1003.24,1870247,5716489,18/10/2005,600,,,,,,,,,,
1000,1780878,5880381,17/09/2021,,(Unknown),,,,,,,,,
1000,1800258,5814070,1/03/2003,50,,,,,,,,,,
1000,1874897,5715375,,500,,,,,,,,,,
1000,1872888,5714473,1/01/2008,500,,,,,,,,,,
1000,1796234,5823018,,300,,,,,,,,,,
997,1871019,5713638,18/04/2008,750,,,,,,,,,,
987,1865931,5721287,30/08/2008,750,,,,,,,,,,
975.3,1868510,5720514,8/08/1958,,,,,,,,,,,
961.98,1888642,5729699,3/04/1984,,,,,,,,,,,
958.54,1867810,5720514,28/09/1953,,,,,,,,,,,
942.07,1865107,5721211,10/05/1963,,,,,,,,,,,
938.7,1879951,5743747,29/06/1965,,(Unknown),,,,,,,,,
929.27,1865509,5719311,1/09/1961,,,,,,,,,,,
917.38,1866109,5720012,1/03/1960,,Power Generation,,,,,,,,,
916.47,1867609,5721214,1/05/1958,,,,,,,,,,,
912,1888513,5731744,14/02/1967,,,,,,,,,,,
912,1772693,5876510,,252,,,,,,,,,,
906.71,1866110,5718911,8/06/1959,,,,,,,,,,,
878.35,1867009,5720713,8/12/1964,,,,,,,,,,,
878,1874282,5716768,30/05/2009,330,,,,,,,,,,
875,1751120,5950950,1/10/1978,100,,,,,,,,,,
843,1755461,5869451,18/03/2006,250,,,,,,,,,,
832.01,1867409,5720613,1/03/1955,,,,,,,,,,,
827.44,1868410,5720614,15/07/1958,,,,,,,,,,,
826.22,1865907,5721713,16/01/1960,,,,,,,,,,,
820,1753160,5973480,13/10/1989,100,,,,,,,,,,
818.6,1866508,5721213,15/04/1961,,,,,,,,,,,
800.5,1870285,5712664,4/01/2009,500,Power Generation,,,,,,,,,
780.1,1778957,5872144,13/06/1980,780,,,,,,,,,,
780,1728270,5941790,1/01/2000,75,,,,,,,,,,
760.1,1784273,5847856,10/09/2009,305,,,,,,,,,,
759.87,1889589,5729703,27/04/1968,,,,,,,,,,,
732.93,1867409,5721114,15/02/1957,,,,,,,,,,,
725.61,1867409,5721014,25/03/1961,,,,,,,,,,,
717.4,1869549,5715059,6/03/2009,315,,,,,,,,,,
