Total Depth (m),Latitude,Longitude,Elevation,Reference Point,Datum,Start Date,End Date,Operator,Prospect/Field
"2,938.88",-42.44,171.44,85.34,RL,MSL,"May 1, 1932","March 15, 1915",SOLID ENERGY NEW ZEALAND LTD,Buller
"1,500.00",-39.12,174.86,103,RL,MSL,"March 8, 2010","March 22, 2010",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
"1,324.75",-38.91,174.95,194,RL,MSL,"June 7, 2011","June 29, 2011",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
"1,137.82",-39.16,174.74,154,RL,MSL,"December 1, 2010","December 20, 2010",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
"1,000.00",-39.05,174.81,205,RL,MSL,"March 24, 2010","April 13, 2010",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
999.25,-44.74,169.92,999.25,RL,MSL,"December 12, 1980","December 12, 1980",DSIR,Hawkdun
999.25,-44.75,169.89,999.25,RL,MSL,"February 9, 1981","February 9, 1981",DSIR,Hawkdun
967,-39.03,174.77,201,RL,MSL,"June 22, 2009","July 8, 2009",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
963.18,-39.03,174.77,201,RL,MSL,"October 1, 2010","October 5, 2010",SOLID ENERGY NEW ZEALAND LTD,Tangarakau-Ohura
936,-38.98,174.76,210,RL,MSL,"July 16, 2009","July 29, 2009",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
935.75,-38.98,174.76,209,RL,MSL,"October 16, 2010","October 22, 2010",SOLID ENERGY NEW ZEALAND LTD,Tangarakau-Ohura
904,-38.86,174.78,140,RL,MSL,"May 19, 2011","June 1, 2011",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
900,-42.42,171.28,95.75,RL,MSL,"December 7, 1981","February 26, 1982",SOLID ENERGY NEW ZEALAND LTD,Buller
900,-42.42,171.28,95.75,KB,MSL,"April 12, 1982",,MINES DEPARTMENT,Greymouth
894.58,-38.93,174.79,317,RL,MSL,"July 1, 2011","August 17, 2011",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
892.76,-39.09,174.77,185,RL,MSL,"October 26, 2010","November 15, 2010",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
835,-38.96,174.79,250,RL,MSL,"July 6, 2009","July 17, 2009",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
830.59,-38.96,174.79,249,RL,MSL,"October 6, 2010","October 15, 2010",SOLID ENERGY NEW ZEALAND LTD,Tangarakau-Ohura
826.01,-42.38,171.33,651.49,RL,MSL,"March 23, 1946","March 30, 1946",SOLID ENERGY NEW ZEALAND LTD,Buller
800.9,-42.4,171.33,698.4,RL,MSL,"April 10, 1979","September 7, 1979",SOLID ENERGY NEW ZEALAND LTD,Buller
782,-42.37,171.33,843.95,RL,MSL,"February 1, 1963","August 14, 1969",SOLID ENERGY NEW ZEALAND LTD,Buller
782,-42.37,171.33,843.95,KB,MSL,"January 2, 1901",,MINES DEPARTMENT,Greymouth
771.1,-42.38,171.34,904.27,KB,MSL,"January 1, 1993","January 1, 1993",UNKNOWN,Greymouth
771.1,-42.38,171.34,904.27,RL,MSL,"February 4, 1993","February 18, 1993",SOLID ENERGY NEW ZEALAND LTD,Buller
765,-42.38,171.34,938.48,RL,MSL,"February 1, 1963","August 14, 1969",SOLID ENERGY NEW ZEALAND LTD,Buller
765,-42.38,171.34,938.48,KB,MSL,"March 2, 1979",,MINES DEPARTMENT,Greymouth
760.17,-42.38,171.33,727.68,RL,MSL,"February 1, 1963","August 14, 1969",SOLID ENERGY NEW ZEALAND LTD,Buller
759,-42.35,171.3,463.87,KB,MSL,"October 24, 1982",,MINES DEPARTMENT,Greymouth
758.5,-42.35,171.3,463.87,RL,MSL,"December 7, 1981","February 26, 1982",SOLID ENERGY NEW ZEALAND LTD,Buller
756.65,-42.39,171.34,817.26,RL,MSL,"February 4, 1993","February 18, 1993",SOLID ENERGY NEW ZEALAND LTD,Buller
756.54,-42.39,171.34,817.26,KB,MSL,"January 1, 1993","January 1, 1993",UNKNOWN,Greymouth
750,-42.38,171.34,808.86,RL,MSL,"February 1, 1963","August 14, 1969",SOLID ENERGY NEW ZEALAND LTD,Buller
750,-39.07,174.82,140,RL,MSL,"February 12, 2010","March 7, 2010",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
750,-42.38,171.34,808.86,KB,MSL,"April 19, 1979",,MINES DEPARTMENT,Greymouth
750,-42.38,171.33,740,KB,MSL,"June 2, 2012","July 6, 2012",SOLID ENERGY NEW ZEALAND LTD,Greymouth
741.49,-39.13,174.8,121,RL,MSL,"January 20, 2011","February 2, 2011",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
739.85,-42.38,171.33,791.28,KB,MSL,"January 1, 1992","January 1, 1992",UNKNOWN,Greymouth
739.85,-42.38,171.33,791.28,RL,MSL,"October 27, 1992","November 25, 1992",SOLID ENERGY NEW ZEALAND LTD,Buller
736.4,-42.38,171.33,746.46,RL,MSL,"July 8, 2012","July 30, 2012",SOLID ENERGY NEW ZEALAND LTD,Buller
735,-42.07,171.91,999.25,RL,MSL,"January 1, 1900",,COAL SURVEY COMMITTEE,Reefton
724.47,-42.38,171.33,746.46,RL,MSL,"June 2, 2012","July 6, 2012",SOLID ENERGY NEW ZEALAND LTD,Buller
720,-42.36,171.27,343.1,RL,MSL,"September 16, 1980","December 8, 1980",SOLID ENERGY NEW ZEALAND LTD,Buller
710,-42.55,171.44,93.44,KB,MSL,"January 6, 1985",,NZ OIL & GAS,Aratika
706.12,-37.5,175.08,10.89,RL,MSL,"August 19, 2009","September 10, 2009",SOLID ENERGY NEW ZEALAND LTD,Huntly
704.64,-39.07,174.81,145.3,RL,MSL,"May 17, 1981","June 27, 1981",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
704,-39.07,174.81,145.3,KB,MSL,"June 27, 1981",,MINES DEPARTMENT,Tangarakau-Ohura
702.9,-41.82,171.57,66.71,RL,MSL,"November 4, 2004","December 12, 2004",SOLID ENERGY NEW ZEALAND LTD,Buller
697,-42.5,171.46,251.16,KB,MSL,"February 4, 1985",,NZ OIL & GAS,Aratika
693.42,-42.38,171.33,999.25,RL,MSL,"January 1, 1900",,COAL SURVEY COMMITTEE,Greymouth
687.2,-42.4,171.28,76.6,RL,MSL,"October 17, 1981","November 1, 1981",SOLID ENERGY NEW ZEALAND LTD,Buller
687,-42.4,171.28,76.6,KB,MSL,"January 16, 1982",,MINES DEPARTMENT,Greymouth
679,-42.56,171.45,123.67,KB,MSL,"January 22, 1985",,NZ OIL & GAS,Aratika
679,-42.36,171.27,343.1,KB,MSL,"December 1, 1980",,MINES DEPARTMENT,Greymouth
679,-42.37,171.3,346.5,KB,MSL,"July 31, 1980",,MINES DEPARTMENT,Greymouth
677.9,-42.37,171.3,346.5,RL,MSL,"May 13, 1980","July 28, 1980",SOLID ENERGY NEW ZEALAND LTD,Buller
676.2,-42.38,171.33,687.17,RL,MSL,"March 23, 1946","March 30, 1946",SOLID ENERGY NEW ZEALAND LTD,Buller
671.02,-42.46,171.3,25.81,RL,MSL,"May 1, 1932","July 15, 1944",SOLID ENERGY NEW ZEALAND LTD,Buller
660.2,-42.46,171.29,18.9,RL,MSL,"May 1, 1932","July 15, 1944",SOLID ENERGY NEW ZEALAND LTD,Buller
659.89,-42.46,171.3,16.15,RL,MSL,"May 1, 1932","March 15, 1915",SOLID ENERGY NEW ZEALAND LTD,Buller
654.4,-42.4,171.32,436.7,RL,MSL,"December 12, 1979","February 5, 1980",SOLID ENERGY NEW ZEALAND LTD,Buller
654,-42.4,171.32,436.7,KB,MSL,"March 4, 1980",,MINES DEPARTMENT,Greymouth
641.7,-42.42,171.26,30.6,RL,MSL,"December 7, 1981","February 26, 1982",SOLID ENERGY NEW ZEALAND LTD,Buller
632.98,-39.1,174.83,113,RL,MSL,"November 16, 2010","November 25, 2010",SOLID ENERGY NEW ZEALAND LTD,TARANAKI
628.2,-42.36,171.27,121.04,RL,MSL,"February 7, 1981","April 29, 1981",SOLID ENERGY NEW ZEALAND LTD,Buller
626,-42.35,171.3,607.44,KB,MSL,"August 10, 1982",,MINES DEPARTMENT,Greymouth
