Total Depth (m),Latitude,Longitude,Elevation,Reference Point,Datum,Start Date,End Date,Operator,Prospect/Field
"1,675.20",-42.29,171.82,528.68,RL,MSL,"July 4, 2012","August 28, 2012",OCEANA GOLD,Blackwater
"1,641.20",-42.29,171.82,528.68,RL,MSL,"September 13, 2012","September 26, 2012",OCEANA GOLD,Blackwater
"1,390.60",-37.38,175.84,971.3,RL,MSL,"November 24, 2014","November 24, 2014",WAIHI GOLD COMPANY LTD,Martha Mine
"1,378.10",-42.29,171.82,528.68,RL,MSL,"November 10, 2011","March 1, 2012",OCEANA GOLD,Blackwater
"1,324.50",-42.29,171.82,528.68,RL,MSL,"March 8, 2012","March 16, 2012",OCEANA GOLD,Blackwater
"1,281.90",-42.28,171.83,555.81,RL,MSL,"November 1, 2012","January 13, 2013",OCEANA GOLD,Blackwater
"1,214.80",-37.39,175.85,892,RL,MSL,"March 22, 2015","March 21, 2016",WAIHI GOLD COMPANY LTD,Favona
"1,214.80",-37.39,175.85,-107.06,RL,MSL,"December 21, 2013","December 20, 2015",WAIHI GOLD COMPANY LTD,Waihi West
"1,205.00",-42.28,171.83,555.81,RL,MSL,"January 16, 2013","January 25, 2013",OCEANA GOLD,Blackwater
"1,200.00",-37.39,175.85,892.94,RL,MSL,"February 3, 2015","February 3, 2015",WAIHI GOLD COMPANY LTD,Favona Mining Permit
"1,121.60",-42.29,171.82,528.68,RL,MSL,"March 30, 2012","June 9, 2012",OCEANA GOLD,Blackwater
"1,074.40",-45.36,170.49,521.39,RL,MSL,"April 5, 2012","June 2, 2012",OCEANA GOLD,Macraes Extension
"1,043.50",-37.35,175.86,235.57,DF,MSL,"August 12, 2020","November 28, 2020",OceanaGold New Zealand Ltd,Waihi North
"1,022.80",-37.39,175.85,833.54,RL,MSL,"March 22, 2015","March 21, 2016",WAIHI GOLD COMPANY LTD,Favona
999.99,-42.92,170.78,23,RL,MSL,"October 26, 1948","October 28, 1948",LIME & MARBLE LTD,Mikonui Valley
999.99,-42.92,170.78,28,RL,MSL,"October 6, 1948","October 7, 1948",LIME & MARBLE LTD,Mikonui Valley
999.99,-42.92,170.78,30.2,RL,MSL,"October 5, 1948","October 5, 1948",LIME & MARBLE LTD,Mikonui Valley
999.99,-42.92,170.78,22,RL,MSL,"November 5, 1948","November 5, 1948",LIME & MARBLE LTD,Mikonui Valley
999.99,-42.92,170.78,28.4,RL,MSL,"October 10, 1948","October 11, 1948",LIME & MARBLE LTD,Mikonui Valley
999.99,-42.92,170.78,26.8,RL,MSL,"October 8, 1948","October 9, 1948",LIME & MARBLE LTD,Mikonui Valley
999.99,-42.92,170.78,28.4,RL,MSL,"November 20, 1948","November 21, 1948",LIME & MARBLE LTD,Mikonui Valley
999.99,-42.92,170.78,30.5,RL,MSL,"October 30, 1948","November 2, 1948",LIME & MARBLE LTD,Mikonui Valley
999.99,-42.92,170.78,30.2,RL,MSL,"November 6, 1948","November 7, 1948",LIME & MARBLE LTD,Mikonui Valley
