Total Depth (m),Title,Purpose,Latitude,Longitude,EPSG,Elevation,Reference Point,Datum,UWI,Result,Start Date,End Date,Operator
"7,943.00",MN1P4,appraisal,-39.99,173.29,"4,326",46.9,RT,MSL,100000666914,oil,"August 1, 2009","October 20, 2009",OMV NEW ZEALAND LIMITED
"7,409.00",POW-03,production,-38.99,174.27,"4,326",44.94,DF,MSL,100000789936,gas/condensate,"January 23, 2006","April 18, 2006",SHELL EXPLORATION NEW ZEALAND LTD
"6,985.50",POW-02,production,-38.99,174.27,"4,326",45.2,DF,MSL,100000789935,gas/condensate,"September 7, 2005","January 5, 2006",SHELL EXPLORATION NEW ZEALAND LTD
"6,542.28",MA-09B,production,-39.55,173.45,"4,326",46.35,DF,MSL,100000790956,gas,"October 28, 2013","March 20, 2014",SHELL TODD OIL SERVICES LIMITED
"6,445.40",POW-01,exploration,-38.99,174.27,"4,326",45.21,KB,MSL,100000789934,gas/condensate,"May 22, 2005","August 18, 2005",SHELL TODD OIL SERVICES LIMITED
"5,950.00",Tui-2H,production,-39.44,173.24,"4,326",19.46,RT,MSL,100000591552,oil,"December 23, 2006","February 20, 2007",AUSTRALIAN WORLDWIDE EXPLORATION
"5,776.00",Amokura-2H,production,-39.42,173.21,"4,326",19.46,RT,MSL,100000604897,oil,"April 3, 2007","May 17, 2007",AUSTRALIAN WORLDWIDE EXPLORATION
"5,690.00",Tawa B-1 ST2,exploration,-39.57,174.29,"4,326",92.12,RT,MSL,100000787749,dry,"October 10, 2005","October 18, 2005",SWIFT ENERGY NEW ZEALAND LTD
"5,664.00",Kapuni Deep-1,production,-39.49,174.17,"4,326",172,DF,MSL,100000113263,oil/gas,"May 3, 1983","September 25, 1983",SHELL BP AND TODD OIL SERVICES LTD
"5,662.40",Waimanu-1,exploration,-39,174.18,"4,326",32.9,DF,MSL,100000670660,gas shows,"November 18, 2009","March 1, 2010",GREYMOUTH PETROLEUM LTD
"5,660.00",Tawa B-1,exploration,-39.57,174.29,"4,326",92.12,RT,MSL,100000543757,dry,"June 10, 2005","September 26, 2005",SWIFT ENERGY NEW ZEALAND LTD
"5,603.00",MA-02A,production,-39.55,173.45,"4,326",45.13,RT,MSL,100000567824,gas shows,"February 28, 2006","June 28, 2006",SHELL TODD OIL SERVICES LIMITED
"5,595.00",Tawa B-1 ST1,exploration,-39.57,174.29,"4,326",92.12,RT,MSL,100000787748,dry,"September 26, 2005","October 2, 2005",SWIFT ENERGY NEW ZEALAND LTD
"5,558.00",Mangahewa-21,production,-39.08,174.29,"4,326",69.16,RT,MSL,100000796483,unknown,"November 21, 2014","February 25, 2015",TODD TARANAKI LIMITED
"5,547.00",Ngatoro-17,appraisal,-39.21,174.17,"4,326",337.2,DF,MSL,100000790963,gas,"May 22, 2014","September 15, 2014",GREYMOUTH PETROLEUM LTD
"5,500.00",POB-03A,production,-38.91,174.27,"4,326",43.18,DF,MSL,100000787544,gas/condensate,"May 23, 2007","June 20, 2007",SHELL EXPLORATION NEW ZEALAND LTD
"5,475.00",Mangahewa-9,production,-39.05,174.31,"4,326",145.14,DF,MSL,100000759102,gas,"October 29, 2012","February 21, 2013",TODD PETROLEUM MINING LTD
"5,467.00",Kowhai-A1R,exploration,-39.06,174.28,"4,326",121.1,KB,MSL,100000573891R,gas,"August 15, 2008","October 24, 2008",PETROCHEM
"5,452.00",Mangahewa-15,production,-39.05,174.31,"4,326",144.31,RT,MSL,100000790942,gas/condensate,"June 24, 2013","August 15, 2013",TODD TARANAKI LIMITED
"5,425.00",Mangahewa-24,production,-39.08,174.29,"4,326",69.16,RT,MSL,100000796485,gas/condensate,"November 27, 2014","March 17, 2015",TODD TARANAKI LIMITED
"5,412.00",Mangahewa-28,production,-39.08,174.32,"4,326",148.76,RT,MSL,100000860810,gas/condensate,"May 14, 2019","June 10, 2019",TODD TARANAKI LIMITED
"5,401.50",Turangi-3,production,-39.01,174.31,"4,326",54.9,DF,MSL,100000681180,gas,"January 22, 2008","July 12, 2008",GREYMOUTH PETROLEUM LTD
"5,384.00",Tui-3H,production,-39.44,173.24,"4,326",19.46,RT,MSL,100000591553,oil,"December 28, 2006","April 1, 2007",AUSTRALIAN WORLDWIDE EXPLORATION
